title,author,rating,publication_date
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,09/16/06
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,09/01/04
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,11/01/03
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,05/01/04
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,09/13/04
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,04/26/05
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,09/12/05
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,11/01/05
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,04/30/02
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,08/03/04
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,03/23/05
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,01/17/96
A Short History of Nearly Everything,Bill Bryson,4.21,09/14/04
Bill Bryson's African Diary,Bill Bryson,3.44,12/03/02
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,09/14/04
In a Sunburned Country,Bill Bryson,4.07,05/15/01
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,06/28/00
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,08/28/90
Neither Here nor There: Travels in Europe,Bill Bryson,3.86,03/28/93
Notes from a Small Island,Bill Bryson,3.91,05/28/97
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,09/28/91
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,09/25/12
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,10/21/04
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,09/05/03
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,10/01/02
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,11/05/03
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,11/15/04
